train_set,embedding,algorithm,threshold,f-1,app_pairs
standard,nnlm,atm,0.54,0.16666666666666666,Expense1-Expense2
standard,nnlm,craftdroid,0.28,0.14285714285714285,Expense1-Expense2
standard,nnlm,custom,0.46,0.15384615384615385,Expense1-Expense2
standard,use,atm,0.41,0.2222222222222222,Expense1-Expense2
standard,use,craftdroid,0.15,0.14285714285714285,Expense1-Expense2
standard,use,custom,0.3,0.18181818181818182,Expense1-Expense2
standard,w2v,atm,0.64,0.14285714285714285,Expense1-Expense2
standard,w2v,craftdroid,0.38,0.15384615384615385,Expense1-Expense2
standard,w2v,custom,0.44,0.18181818181818182,Expense1-Expense2
standard,wm,atm,0.24,0.15384615384615385,Expense1-Expense2
standard,wm,craftdroid,0.21,0.14285714285714285,Expense1-Expense2
standard,wm,custom,0.23,0.15384615384615385,Expense1-Expense2
android,fast,atm,0.57,0.11764705882352941,Expense1-Expense3
android,fast,craftdroid,0.69,0.15384615384615385,Expense1-Expense3
android,fast,custom,0.77,0.16025641025641024,Expense1-Expense3
android,glove,atm,0.58,0.14285714285714285,Expense1-Expense3
android,glove,craftdroid,0.53,0.16666666666666666,Expense1-Expense3
android,glove,custom,0.53,0.15384615384615385,Expense1-Expense3
android,w2v,atm,0.5,0.11764705882352941,Expense1-Expense3
android,w2v,craftdroid,0.72,0.15384615384615385,Expense1-Expense3
android,w2v,custom,0.75,0.16666666666666666,Expense1-Expense3
android,wm,atm,0.24,0.14285714285714285,Expense1-Expense3
android,wm,craftdroid,0.23,0.14285714285714285,Expense1-Expense3
android,wm,custom,0.24,0.14285714285714285,Expense1-Expense3
blogs,fast,atm,0.55,0.11764705882352941,Expense1-Expense3
blogs,fast,craftdroid,0.66,0.15384615384615385,Expense1-Expense3
blogs,fast,custom,0.73,0.18181818181818182,Expense1-Expense3
blogs,glove,atm,0.66,0.13333333333333333,Expense1-Expense3
blogs,glove,craftdroid,0.6,0.15384615384615385,Expense1-Expense3
blogs,glove,custom,0.62,0.15384615384615385,Expense1-Expense3
blogs,w2v,atm,0.54,0.11764705882352941,Expense1-Expense3
blogs,w2v,craftdroid,0.72,0.15384615384615385,Expense1-Expense3
blogs,w2v,custom,0.73,0.16666666666666666,Expense1-Expense3
blogs,wm,atm,0.31,0.16666666666666666,Expense1-Expense3
blogs,wm,craftdroid,0.24,0.14285714285714285,Expense1-Expense3
blogs,wm,custom,0.27,0.15384615384615385,Expense1-Expense3
empty,edit,atm,0.6,0.14285714285714285,Expense1-Expense3
empty,edit,craftdroid,0.44,0.16666666666666666,Expense1-Expense3
empty,edit,custom,0.45,0.18181818181818182,Expense1-Expense3
empty,jaccard,atm,0.23,0.19090909090909092,Expense1-Expense3
empty,jaccard,craftdroid,0.15,0.14285714285714285,Expense1-Expense3
empty,jaccard,custom,0.16,0.2,Expense1-Expense3
googleplay,fast,atm,0.98,0.125,Expense1-Expense3
googleplay,fast,craftdroid,0.7,0.18181818181818182,Expense1-Expense3
googleplay,fast,custom,0.71,0.18181818181818182,Expense1-Expense3
googleplay,glove,atm,0.89,0.13333333333333333,Expense1-Expense3
googleplay,glove,craftdroid,0.72,0.17424242424242425,Expense1-Expense3
googleplay,glove,custom,0.54,0.14285714285714285,Expense1-Expense3
googleplay,w2v,atm,0.95,0.125,Expense1-Expense3
googleplay,w2v,craftdroid,0.69,0.2,Expense1-Expense3
googleplay,w2v,custom,0.68,0.18181818181818182,Expense1-Expense3
googleplay,wm,atm,0.24,0.14285714285714285,Expense1-Expense3
googleplay,wm,craftdroid,0.21,0.14285714285714285,Expense1-Expense3
googleplay,wm,custom,0.28,0.16666666666666666,Expense1-Expense3
standard,bert,atm,0.73,0.16666666666666666,Expense1-Expense3
standard,bert,craftdroid,0.72,0.16666666666666666,Expense1-Expense3
standard,bert,custom,0.72,0.13333333333333333,Expense1-Expense3
standard,fast,atm,0.57,0.14285714285714285,Expense1-Expense3
standard,fast,craftdroid,0.42,0.15384615384615385,Expense1-Expense3
standard,fast,custom,0.47,0.18181818181818182,Expense1-Expense3
standard,glove,atm,0.68,0.13333333333333333,Expense1-Expense3
standard,glove,craftdroid,0.44,0.14285714285714285,Expense1-Expense3
standard,glove,custom,0.6,0.15384615384615385,Expense1-Expense3
standard,nnlm,atm,0.54,0.16666666666666666,Expense1-Expense3
standard,nnlm,craftdroid,0.27,0.14285714285714285,Expense1-Expense3
standard,nnlm,custom,0.49,0.16666666666666666,Expense1-Expense3
standard,use,atm,0.41,0.2222222222222222,Expense1-Expense3
standard,use,craftdroid,0.15,0.14285714285714285,Expense1-Expense3
standard,use,custom,0.31,0.18181818181818182,Expense1-Expense3
standard,w2v,atm,0.47,0.14285714285714285,Expense1-Expense3
standard,w2v,craftdroid,0.37,0.15384615384615385,Expense1-Expense3
standard,w2v,custom,0.44,0.18181818181818182,Expense1-Expense3
standard,wm,atm,0.24,0.15384615384615385,Expense1-Expense3
standard,wm,craftdroid,0.21,0.14285714285714285,Expense1-Expense3
standard,wm,custom,0.23,0.15384615384615385,Expense1-Expense3
android,fast,atm,0.56,0.11764705882352941,Expense1-Expense4
android,fast,craftdroid,0.75,0.16666666666666666,Expense1-Expense4
android,fast,custom,0.76,0.16666666666666666,Expense1-Expense4
android,glove,atm,0.54,0.14285714285714285,Expense1-Expense4
android,glove,craftdroid,0.53,0.16666666666666666,Expense1-Expense4
android,glove,custom,0.51,0.15384615384615385,Expense1-Expense4
android,w2v,atm,0.5,0.11764705882352941,Expense1-Expense4
android,w2v,craftdroid,0.72,0.15384615384615385,Expense1-Expense4
android,w2v,custom,0.75,0.16666666666666666,Expense1-Expense4
android,wm,atm,0.24,0.14285714285714285,Expense1-Expense4
android,wm,craftdroid,0.23,0.14285714285714285,Expense1-Expense4
android,wm,custom,0.29,0.15384615384615385,Expense1-Expense4
blogs,fast,atm,0.53,0.11764705882352941,Expense1-Expense4
blogs,fast,craftdroid,0.66,0.15384615384615385,Expense1-Expense4
blogs,fast,custom,0.72,0.18181818181818182,Expense1-Expense4
blogs,glove,atm,0.64,0.13333333333333333,Expense1-Expense4
blogs,glove,craftdroid,0.6,0.15384615384615385,Expense1-Expense4
blogs,glove,custom,0.57,0.15384615384615385,Expense1-Expense4
blogs,w2v,atm,0.53,0.11764705882352941,Expense1-Expense4
blogs,w2v,craftdroid,0.71,0.15384615384615385,Expense1-Expense4
blogs,w2v,custom,0.73,0.16666666666666666,Expense1-Expense4
blogs,wm,atm,0.27,0.16666666666666666,Expense1-Expense4
blogs,wm,craftdroid,0.24,0.14285714285714285,Expense1-Expense4
blogs,wm,custom,0.29,0.16666666666666666,Expense1-Expense4
empty,edit,atm,0.57,0.14285714285714285,Expense1-Expense4
empty,edit,craftdroid,0.44,0.16666666666666666,Expense1-Expense4
empty,edit,custom,0.49,0.2,Expense1-Expense4
empty,jaccard,atm,0.2,0.2,Expense1-Expense4
empty,jaccard,craftdroid,0.15,0.14285714285714285,Expense1-Expense4
empty,jaccard,custom,0.16,0.2,Expense1-Expense4
googleplay,fast,atm,0.95,0.125,Expense1-Expense4
googleplay,fast,craftdroid,0.69,0.18181818181818182,Expense1-Expense4
googleplay,fast,custom,0.68,0.18181818181818182,Expense1-Expense4
googleplay,glove,atm,0.88,0.13333333333333333,Expense1-Expense4
googleplay,glove,craftdroid,0.72,0.18181818181818182,Expense1-Expense4
googleplay,glove,custom,0.71,0.15384615384615385,Expense1-Expense4
googleplay,w2v,atm,0.95,0.125,Expense1-Expense4
googleplay,w2v,craftdroid,0.68,0.2,Expense1-Expense4
googleplay,w2v,custom,0.73,0.2,Expense1-Expense4
googleplay,wm,atm,0.23,0.14285714285714285,Expense1-Expense4
googleplay,wm,craftdroid,0.21,0.14285714285714285,Expense1-Expense4
googleplay,wm,custom,0.28,0.18181818181818182,Expense1-Expense4
standard,bert,atm,0.76,0.18181818181818182,Expense1-Expense4
standard,bert,craftdroid,0.72,0.16666666666666666,Expense1-Expense4
standard,bert,custom,0.72,0.13333333333333333,Expense1-Expense4
standard,fast,atm,0.48,0.14285714285714285,Expense1-Expense4
standard,fast,craftdroid,0.42,0.16666666666666666,Expense1-Expense4
standard,fast,custom,0.5,0.2,Expense1-Expense4
standard,glove,atm,0.68,0.13333333333333333,Expense1-Expense4
standard,glove,craftdroid,0.44,0.14285714285714285,Expense1-Expense4
standard,glove,custom,0.61,0.16666666666666666,Expense1-Expense4
standard,nnlm,atm,0.52,0.16666666666666666,Expense1-Expense4
standard,nnlm,craftdroid,0.24,0.14285714285714285,Expense1-Expense4
standard,nnlm,custom,0.48,0.16666666666666666,Expense1-Expense4
standard,use,atm,0.39,0.2222222222222222,Expense1-Expense4
standard,use,craftdroid,0.29,0.15384615384615385,Expense1-Expense4
standard,use,custom,0.39,0.2,Expense1-Expense4
standard,w2v,atm,0.44,0.14285714285714285,Expense1-Expense4
standard,w2v,craftdroid,0.38,0.16666666666666666,Expense1-Expense4
standard,w2v,custom,0.39,0.18181818181818182,Expense1-Expense4
standard,wm,atm,0.23,0.15384615384615385,Expense1-Expense4
standard,wm,craftdroid,0.21,0.14285714285714285,Expense1-Expense4
standard,wm,custom,0.23,0.15384615384615385,Expense1-Expense4
android,fast,atm,0.69,0.11437908496732026,Expense2-Expense3
android,fast,craftdroid,0.71,0.15384615384615385,Expense2-Expense3
android,fast,custom,0.77,0.16666666666666666,Expense2-Expense3
android,glove,atm,0.58,0.14285714285714285,Expense2-Expense3
android,glove,craftdroid,0.52,0.15384615384615385,Expense2-Expense3
android,glove,custom,0.39,0.14285714285714285,Expense2-Expense3
android,w2v,atm,0.73,0.11764705882352941,Expense2-Expense3
android,w2v,craftdroid,0.72,0.15384615384615385,Expense2-Expense3
android,w2v,custom,0.75,0.16666666666666666,Expense2-Expense3
android,wm,atm,0.24,0.14285714285714285,Expense2-Expense3
android,wm,craftdroid,0.23,0.14285714285714285,Expense2-Expense3
android,wm,custom,0.25,0.14285714285714285,Expense2-Expense3
blogs,fast,atm,0.88,0.11764705882352941,Expense2-Expense3
blogs,fast,craftdroid,0.68,0.15384615384615385,Expense2-Expense3
blogs,fast,custom,0.73,0.18181818181818182,Expense2-Expense3
blogs,glove,atm,0.81,0.13333333333333333,Expense2-Expense3
blogs,glove,craftdroid,0.63,0.14835164835164835,Expense2-Expense3
blogs,glove,custom,0.62,0.15384615384615385,Expense2-Expense3
blogs,w2v,atm,0.59,0.11764705882352941,Expense2-Expense3
blogs,w2v,craftdroid,0.72,0.15384615384615385,Expense2-Expense3
blogs,w2v,custom,0.74,0.16666666666666666,Expense2-Expense3
blogs,wm,atm,0.31,0.16666666666666666,Expense2-Expense3
blogs,wm,craftdroid,0.24,0.14285714285714285,Expense2-Expense3
blogs,wm,custom,0.27,0.15384615384615385,Expense2-Expense3
empty,edit,atm,0.57,0.14285714285714285,Expense2-Expense3
empty,edit,craftdroid,0.44,0.16666666666666666,Expense2-Expense3
empty,edit,custom,0.45,0.18181818181818182,Expense2-Expense3
empty,jaccard,atm,0.17,0.18181818181818182,Expense2-Expense3
empty,jaccard,craftdroid,0.15,0.14285714285714285,Expense2-Expense3
empty,jaccard,custom,0.16,0.2,Expense2-Expense3
googleplay,fast,atm,0.98,0.125,Expense2-Expense3
googleplay,fast,craftdroid,0.7,0.18181818181818182,Expense2-Expense3
googleplay,fast,custom,0.71,0.18181818181818182,Expense2-Expense3
googleplay,glove,atm,0.91,0.13333333333333333,Expense2-Expense3
googleplay,glove,craftdroid,0.68,0.16666666666666666,Expense2-Expense3
googleplay,glove,custom,0.6,0.14285714285714285,Expense2-Expense3
googleplay,w2v,atm,0.99,0.125,Expense2-Expense3
googleplay,w2v,craftdroid,0.69,0.2,Expense2-Expense3
googleplay,w2v,custom,0.68,0.18181818181818182,Expense2-Expense3
googleplay,wm,atm,0.24,0.14285714285714285,Expense2-Expense3
googleplay,wm,craftdroid,0.21,0.14285714285714285,Expense2-Expense3
googleplay,wm,custom,0.28,0.16666666666666666,Expense2-Expense3
standard,bert,atm,0.73,0.16666666666666666,Expense2-Expense3
standard,bert,craftdroid,0.72,0.16025641025641024,Expense2-Expense3
standard,bert,custom,0.7,0.125,Expense2-Expense3
standard,fast,atm,0.58,0.14285714285714285,Expense2-Expense3
standard,fast,craftdroid,0.42,0.15384615384615385,Expense2-Expense3
standard,fast,custom,0.47,0.18181818181818182,Expense2-Expense3
standard,glove,atm,0.84,0.13333333333333333,Expense2-Expense3
standard,glove,craftdroid,0.44,0.14285714285714285,Expense2-Expense3
standard,glove,custom,0.61,0.15384615384615385,Expense2-Expense3
standard,nnlm,atm,0.53,0.16666666666666666,Expense2-Expense3
standard,nnlm,craftdroid,0.18,0.13333333333333333,Expense2-Expense3
standard,nnlm,custom,0.46,0.15384615384615385,Expense2-Expense3
standard,use,atm,0.41,0.2222222222222222,Expense2-Expense3
standard,use,craftdroid,0.29,0.14835164835164835,Expense2-Expense3
standard,use,custom,0.3,0.18181818181818182,Expense2-Expense3
standard,w2v,atm,0.59,0.14285714285714285,Expense2-Expense3
standard,w2v,craftdroid,0.37,0.15384615384615385,Expense2-Expense3
standard,w2v,custom,0.44,0.18181818181818182,Expense2-Expense3
standard,wm,atm,0.21,0.14285714285714285,Expense2-Expense3
standard,wm,craftdroid,0.21,0.14285714285714285,Expense2-Expense3
standard,wm,custom,0.23,0.15384615384615385,Expense2-Expense3
android,fast,atm,0.67,0.11764705882352941,Expense2-Expense4
android,fast,craftdroid,0.75,0.16025641025641024,Expense2-Expense4
android,fast,custom,0.77,0.16666666666666666,Expense2-Expense4
android,glove,atm,0.58,0.14285714285714285,Expense2-Expense4
android,glove,craftdroid,0.53,0.16666666666666666,Expense2-Expense4
android,glove,custom,0.51,0.15384615384615385,Expense2-Expense4
android,w2v,atm,0.57,0.11764705882352941,Expense2-Expense4
android,w2v,craftdroid,0.72,0.15384615384615385,Expense2-Expense4
android,w2v,custom,0.75,0.16666666666666666,Expense2-Expense4
android,wm,atm,0.24,0.14285714285714285,Expense2-Expense4
android,wm,craftdroid,0.23,0.14285714285714285,Expense2-Expense4
android,wm,custom,0.24,0.14285714285714285,Expense2-Expense4
blogs,fast,atm,0.57,0.11764705882352941,Expense2-Expense4
blogs,fast,craftdroid,0.66,0.15384615384615385,Expense2-Expense4
blogs,fast,custom,0.73,0.18181818181818182,Expense2-Expense4
blogs,glove,atm,0.77,0.13333333333333333,Expense2-Expense4
blogs,glove,craftdroid,0.6,0.15384615384615385,Expense2-Expense4
blogs,glove,custom,0.58,0.15384615384615385,Expense2-Expense4
blogs,w2v,atm,0.54,0.11764705882352941,Expense2-Expense4
blogs,w2v,craftdroid,0.72,0.15384615384615385,Expense2-Expense4
blogs,w2v,custom,0.73,0.16666666666666666,Expense2-Expense4
blogs,wm,atm,0.31,0.16666666666666666,Expense2-Expense4
blogs,wm,craftdroid,0.24,0.14285714285714285,Expense2-Expense4
blogs,wm,custom,0.27,0.15384615384615385,Expense2-Expense4
empty,edit,atm,0.6,0.14285714285714285,Expense2-Expense4
empty,edit,craftdroid,0.44,0.16666666666666666,Expense2-Expense4
empty,edit,custom,0.52,0.19090909090909092,Expense2-Expense4
empty,jaccard,atm,0.18,0.18181818181818182,Expense2-Expense4
empty,jaccard,craftdroid,0.15,0.14285714285714285,Expense2-Expense4
empty,jaccard,custom,0.15,0.18181818181818182,Expense2-Expense4
googleplay,fast,atm,0.98,0.125,Expense2-Expense4
googleplay,fast,craftdroid,0.7,0.18181818181818182,Expense2-Expense4
googleplay,fast,custom,0.68,0.18181818181818182,Expense2-Expense4
googleplay,glove,atm,0.91,0.13333333333333333,Expense2-Expense4
googleplay,glove,craftdroid,0.72,0.18181818181818182,Expense2-Expense4
googleplay,glove,custom,0.54,0.14285714285714285,Expense2-Expense4
googleplay,w2v,atm,0.98,0.125,Expense2-Expense4
googleplay,w2v,craftdroid,0.68,0.2,Expense2-Expense4
googleplay,w2v,custom,0.68,0.18181818181818182,Expense2-Expense4
googleplay,wm,atm,0.23,0.14285714285714285,Expense2-Expense4
googleplay,wm,craftdroid,0.21,0.14285714285714285,Expense2-Expense4
googleplay,wm,custom,0.28,0.16666666666666666,Expense2-Expense4
standard,bert,atm,0.73,0.16666666666666666,Expense2-Expense4
standard,bert,craftdroid,0.72,0.16666666666666666,Expense2-Expense4
standard,bert,custom,0.74,0.13333333333333333,Expense2-Expense4
standard,fast,atm,0.57,0.14285714285714285,Expense2-Expense4
standard,fast,craftdroid,0.42,0.15384615384615385,Expense2-Expense4
standard,fast,custom,0.47,0.18181818181818182,Expense2-Expense4
standard,glove,atm,0.84,0.13333333333333333,Expense2-Expense4
standard,glove,craftdroid,0.44,0.14285714285714285,Expense2-Expense4
standard,glove,custom,0.61,0.16666666666666666,Expense2-Expense4
standard,nnlm,atm,0.53,0.16666666666666666,Expense2-Expense4
standard,nnlm,craftdroid,0.27,0.14285714285714285,Expense2-Expense4
standard,nnlm,custom,0.49,0.16666666666666666,Expense2-Expense4
standard,use,atm,0.41,0.2222222222222222,Expense2-Expense4
standard,use,craftdroid,0.15,0.14285714285714285,Expense2-Expense4
standard,use,custom,0.3,0.18181818181818182,Expense2-Expense4
standard,w2v,atm,0.48,0.14285714285714285,Expense2-Expense4
standard,w2v,craftdroid,0.37,0.15384615384615385,Expense2-Expense4
standard,w2v,custom,0.4,0.18181818181818182,Expense2-Expense4
standard,wm,atm,0.2,0.14285714285714285,Expense2-Expense4
standard,wm,craftdroid,0.21,0.14285714285714285,Expense2-Expense4
standard,wm,custom,0.23,0.15384615384615385,Expense2-Expense4
android,fast,atm,0.59,0.11764705882352941,Expense3-Expense4
android,fast,craftdroid,0.69,0.15384615384615385,Expense3-Expense4
android,fast,custom,0.77,0.16666666666666666,Expense3-Expense4
android,glove,atm,0.58,0.14285714285714285,Expense3-Expense4
android,glove,craftdroid,0.5,0.15384615384615385,Expense3-Expense4
android,glove,custom,0.53,0.15384615384615385,Expense3-Expense4
android,w2v,atm,0.5,0.11764705882352941,Expense3-Expense4
android,w2v,craftdroid,0.74,0.15384615384615385,Expense3-Expense4
android,w2v,custom,0.75,0.16666666666666666,Expense3-Expense4
android,wm,atm,0.24,0.14285714285714285,Expense3-Expense4
android,wm,craftdroid,0.23,0.14285714285714285,Expense3-Expense4
android,wm,custom,0.24,0.14285714285714285,Expense3-Expense4
blogs,fast,atm,0.55,0.11764705882352941,Expense3-Expense4
blogs,fast,craftdroid,0.66,0.15384615384615385,Expense3-Expense4
blogs,fast,custom,0.73,0.18181818181818182,Expense3-Expense4
blogs,glove,atm,0.81,0.13333333333333333,Expense3-Expense4
blogs,glove,craftdroid,0.6,0.15384615384615385,Expense3-Expense4
blogs,glove,custom,0.57,0.15384615384615385,Expense3-Expense4
blogs,w2v,atm,0.54,0.11764705882352941,Expense3-Expense4
blogs,w2v,craftdroid,0.72,0.15384615384615385,Expense3-Expense4
blogs,w2v,custom,0.73,0.16666666666666666,Expense3-Expense4
blogs,wm,atm,0.31,0.16025641025641024,Expense3-Expense4
blogs,wm,craftdroid,0.24,0.14285714285714285,Expense3-Expense4
blogs,wm,custom,0.29,0.16666666666666666,Expense3-Expense4
empty,edit,atm,0.6,0.14285714285714285,Expense3-Expense4
empty,edit,craftdroid,0.41,0.15384615384615385,Expense3-Expense4
empty,edit,custom,0.46,0.18181818181818182,Expense3-Expense4
empty,jaccard,atm,0.18,0.18181818181818182,Expense3-Expense4
empty,jaccard,craftdroid,0.15,0.14285714285714285,Expense3-Expense4
empty,jaccard,custom,0.15,0.18181818181818182,Expense3-Expense4
googleplay,fast,atm,0.97,0.125,Expense3-Expense4
googleplay,fast,craftdroid,0.69,0.18181818181818182,Expense3-Expense4
googleplay,fast,custom,0.7,0.18181818181818182,Expense3-Expense4
googleplay,glove,atm,0.89,0.13333333333333333,Expense3-Expense4
googleplay,glove,craftdroid,0.72,0.18181818181818182,Expense3-Expense4
googleplay,glove,custom,0.75,0.14835164835164835,Expense3-Expense4
googleplay,w2v,atm,0.96,0.125,Expense3-Expense4
googleplay,w2v,craftdroid,0.69,0.2,Expense3-Expense4
googleplay,w2v,custom,0.68,0.18181818181818182,Expense3-Expense4
googleplay,wm,atm,0.23,0.14285714285714285,Expense3-Expense4
googleplay,wm,craftdroid,0.21,0.14285714285714285,Expense3-Expense4
googleplay,wm,custom,0.28,0.16025641025641024,Expense3-Expense4
standard,bert,atm,0.75,0.16666666666666666,Expense3-Expense4
standard,bert,craftdroid,0.72,0.16666666666666666,Expense3-Expense4
standard,bert,custom,0.72,0.13333333333333333,Expense3-Expense4
standard,fast,atm,0.67,0.14285714285714285,Expense3-Expense4
standard,fast,craftdroid,0.42,0.16025641025641024,Expense3-Expense4
standard,fast,custom,0.47,0.18181818181818182,Expense3-Expense4
standard,glove,atm,0.68,0.13333333333333333,Expense3-Expense4
standard,glove,craftdroid,0.44,0.14285714285714285,Expense3-Expense4
standard,glove,custom,0.6,0.15384615384615385,Expense3-Expense4
standard,nnlm,atm,0.54,0.16025641025641024,Expense3-Expense4
standard,nnlm,craftdroid,0.25,0.14285714285714285,Expense3-Expense4
standard,nnlm,custom,0.46,0.15384615384615385,Expense3-Expense4
standard,use,atm,0.42,0.2222222222222222,Expense3-Expense4
standard,use,craftdroid,0.15,0.14285714285714285,Expense3-Expense4
standard,use,custom,0.39,0.2,Expense3-Expense4
standard,w2v,atm,0.64,0.14285714285714285,Expense3-Expense4
standard,w2v,craftdroid,0.36,0.15384615384615385,Expense3-Expense4
standard,w2v,custom,0.44,0.18181818181818182,Expense3-Expense4
standard,wm,atm,0.2,0.14285714285714285,Expense3-Expense4
standard,wm,craftdroid,0.21,0.14285714285714285,Expense3-Expense4
standard,wm,custom,0.23,0.15384615384615385,Expense3-Expense4
android,fast,atm,0.57,0.1111111111111111,Note2-Note3
android,fast,craftdroid,0.69,0.15384615384615385,Note2-Note3
android,fast,custom,0.73,0.15384615384615385,Note2-Note3
android,glove,atm,0.66,0.14285714285714285,Note2-Note3
android,glove,craftdroid,0.51,0.15384615384615385,Note2-Note3
android,glove,custom,0.4,0.14285714285714285,Note2-Note3
android,w2v,atm,0.74,0.11437908496732026,Note2-Note3
android,w2v,craftdroid,0.74,0.15384615384615385,Note2-Note3
android,w2v,custom,0.72,0.15384615384615385,Note2-Note3
android,wm,atm,0.24,0.14285714285714285,Note2-Note3
android,wm,craftdroid,0.23,0.14285714285714285,Note2-Note3
android,wm,custom,0.25,0.14285714285714285,Note2-Note3
blogs,fast,atm,0.89,0.11764705882352941,Note2-Note3
blogs,fast,craftdroid,0.64,0.14285714285714285,Note2-Note3
blogs,fast,custom,0.73,0.18181818181818182,Note2-Note3
blogs,glove,atm,0.81,0.13333333333333333,Note2-Note3
blogs,glove,craftdroid,0.54,0.14285714285714285,Note2-Note3
blogs,glove,custom,0.63,0.14835164835164835,Note2-Note3
blogs,w2v,atm,0.59,0.11437908496732026,Note2-Note3
blogs,w2v,craftdroid,0.68,0.14285714285714285,Note2-Note3
blogs,w2v,custom,0.73,0.15384615384615385,Note2-Note3
blogs,wm,atm,0.31,0.16666666666666666,Note2-Note3
blogs,wm,craftdroid,0.24,0.14285714285714285,Note2-Note3
blogs,wm,custom,0.27,0.15384615384615385,Note2-Note3
empty,edit,atm,0.6,0.14285714285714285,Note2-Note3
empty,edit,craftdroid,0.44,0.16666666666666666,Note2-Note3
empty,edit,custom,0.47,0.18181818181818182,Note2-Note3
empty,jaccard,atm,0.18,0.18181818181818182,Note2-Note3
empty,jaccard,craftdroid,0.15,0.14285714285714285,Note2-Note3
empty,jaccard,custom,0.15,0.18181818181818182,Note2-Note3
googleplay,fast,atm,0.99,0.125,Note2-Note3
googleplay,fast,craftdroid,0.7,0.18181818181818182,Note2-Note3
googleplay,fast,custom,0.71,0.18181818181818182,Note2-Note3
googleplay,glove,atm,0.91,0.13333333333333333,Note2-Note3
googleplay,glove,craftdroid,0.7,0.16666666666666666,Note2-Note3
googleplay,glove,custom,0.59,0.14285714285714285,Note2-Note3
googleplay,w2v,atm,0.99,0.125,Note2-Note3
googleplay,w2v,craftdroid,0.69,0.2,Note2-Note3
googleplay,w2v,custom,0.73,0.18181818181818182,Note2-Note3
googleplay,wm,atm,0.24,0.14285714285714285,Note2-Note3
googleplay,wm,craftdroid,0.21,0.14285714285714285,Note2-Note3
googleplay,wm,custom,0.28,0.16025641025641024,Note2-Note3
