train_set,embedding,algorithm,threshold,f-1,app_pairs
android,wm,atm,0.24,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
android,wm,craftdroid,0.23,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
android,wm,custom,0.29,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
blogs,fast,atm,0.53,0.11764705882352941,ExpenseTracker1-ExpenseTracker4
blogs,fast,craftdroid,0.66,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
blogs,fast,custom,0.72,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
blogs,glove,atm,0.64,0.13333333333333333,ExpenseTracker1-ExpenseTracker4
blogs,glove,craftdroid,0.6,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
blogs,glove,custom,0.57,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
blogs,w2v,atm,0.53,0.11764705882352941,ExpenseTracker1-ExpenseTracker4
blogs,w2v,craftdroid,0.71,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
blogs,w2v,custom,0.73,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
blogs,wm,atm,0.27,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
blogs,wm,craftdroid,0.24,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
blogs,wm,custom,0.29,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
empty,edit_distance,atm,0.57,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
empty,edit_distance,craftdroid,0.44,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
empty,edit_distance,custom,0.49,0.2,ExpenseTracker1-ExpenseTracker4
empty,jaccard,atm,0.2,0.2,ExpenseTracker1-ExpenseTracker4
empty,jaccard,craftdroid,0.15,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
empty,jaccard,custom,0.16,0.2,ExpenseTracker1-ExpenseTracker4
googleplay,fast,atm,0.95,0.125,ExpenseTracker1-ExpenseTracker4
googleplay,fast,craftdroid,0.69,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
googleplay,fast,custom,0.68,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
googleplay,glove,atm,0.88,0.13333333333333333,ExpenseTracker1-ExpenseTracker4
googleplay,glove,craftdroid,0.72,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
googleplay,glove,custom,0.71,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
googleplay,w2v,atm,0.95,0.125,ExpenseTracker1-ExpenseTracker4
googleplay,w2v,craftdroid,0.68,0.2,ExpenseTracker1-ExpenseTracker4
googleplay,w2v,custom,0.73,0.2,ExpenseTracker1-ExpenseTracker4
googleplay,wm,atm,0.23,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
googleplay,wm,craftdroid,0.21,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
googleplay,wm,custom,0.28,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
standard,bert,atm,0.76,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
standard,bert,craftdroid,0.72,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
standard,bert,custom,0.72,0.13333333333333333,ExpenseTracker1-ExpenseTracker4
standard,fast,atm,0.48,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
standard,fast,craftdroid,0.42,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
standard,fast,custom,0.5,0.2,ExpenseTracker1-ExpenseTracker4
standard,glove,atm,0.68,0.13333333333333333,ExpenseTracker1-ExpenseTracker4
standard,glove,craftdroid,0.44,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
standard,glove,custom,0.61,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
standard,nnlm,atm,0.52,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
standard,nnlm,craftdroid,0.24,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
standard,nnlm,custom,0.48,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
standard,use,atm,0.39,0.2222222222222222,ExpenseTracker1-ExpenseTracker4
standard,use,craftdroid,0.29,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
standard,use,custom,0.39,0.2,ExpenseTracker1-ExpenseTracker4
standard,w2v,atm,0.44,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
standard,w2v,craftdroid,0.38,0.16666666666666666,ExpenseTracker1-ExpenseTracker4
standard,w2v,custom,0.39,0.18181818181818182,ExpenseTracker1-ExpenseTracker4
standard,wm,atm,0.23,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
standard,wm,craftdroid,0.21,0.14285714285714285,ExpenseTracker1-ExpenseTracker4
standard,wm,custom,0.23,0.15384615384615385,ExpenseTracker1-ExpenseTracker4
android,fast,atm,0.69,0.11437908496732026,ExpenseTracker2-ExpenseTracker3
android,fast,craftdroid,0.71,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
android,fast,custom,0.77,0.16666666666666666,ExpenseTracker2-ExpenseTracker3
android,glove,atm,0.58,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
android,glove,craftdroid,0.52,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
android,glove,custom,0.39,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
android,w2v,atm,0.73,0.11764705882352941,ExpenseTracker2-ExpenseTracker3
android,w2v,craftdroid,0.72,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
android,w2v,custom,0.75,0.16666666666666666,ExpenseTracker2-ExpenseTracker3
android,wm,atm,0.24,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
android,wm,craftdroid,0.23,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
android,wm,custom,0.25,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
blogs,fast,atm,0.88,0.11764705882352941,ExpenseTracker2-ExpenseTracker3
blogs,fast,craftdroid,0.68,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
blogs,fast,custom,0.73,0.18181818181818182,ExpenseTracker2-ExpenseTracker3
blogs,glove,atm,0.81,0.13333333333333333,ExpenseTracker2-ExpenseTracker3
blogs,glove,craftdroid,0.63,0.14835164835164835,ExpenseTracker2-ExpenseTracker3
blogs,glove,custom,0.62,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
blogs,w2v,atm,0.59,0.11764705882352941,ExpenseTracker2-ExpenseTracker3
blogs,w2v,craftdroid,0.72,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
blogs,w2v,custom,0.74,0.16666666666666666,ExpenseTracker2-ExpenseTracker3
blogs,wm,atm,0.31,0.16666666666666666,ExpenseTracker2-ExpenseTracker3
blogs,wm,craftdroid,0.24,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
blogs,wm,custom,0.27,0.15384615384615385,ExpenseTracker2-ExpenseTracker3
empty,edit_distance,atm,0.57,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
empty,edit_distance,craftdroid,0.44,0.16666666666666666,ExpenseTracker2-ExpenseTracker3
empty,edit_distance,custom,0.45,0.18181818181818182,ExpenseTracker2-ExpenseTracker3
empty,jaccard,atm,0.17,0.18181818181818182,ExpenseTracker2-ExpenseTracker3
empty,jaccard,craftdroid,0.15,0.14285714285714285,ExpenseTracker2-ExpenseTracker3
empty,jaccard,custom,0.16,0.2,ExpenseTracker2-ExpenseTracker3
googleplay,fast,atm,0.98,0.125,ExpenseTracker2-ExpenseTracker3
