train_set,embedding,algorithm,count,mean,std,min,25%,50%,75%,max
standard,nnlm,atm,44.0,0.524090909090909,0.022445611972694204,0.46,0.52,0.535,0.54,0.54
standard,nnlm,craftdroid,44.0,0.25477272727272726,0.05966919022541238,0.15,0.22,0.24,0.28,0.36
standard,nnlm,custom,44.0,0.46886363636363626,0.008412589981110136,0.46,0.46,0.47,0.47,0.49
standard,use,atm,44.0,0.39250000000000007,0.02211229269822767,0.36,0.37,0.4,0.41,0.42
standard,use,craftdroid,44.0,0.17931818181818185,0.034058617546451814,0.15,0.16,0.18,0.19,0.29
standard,use,custom,44.0,0.32386363636363646,0.020822160499446105,0.3,0.3175,0.32,0.33,0.39
standard,w2v,atm,44.0,0.6670454545454546,0.11463956753222088,0.43,0.6625000000000001,0.69,0.74,0.84
standard,w2v,craftdroid,44.0,0.35863636363636364,0.05428567454575792,0.15,0.37,0.38,0.38,0.38
standard,w2v,custom,44.0,0.3986363636363636,0.027584197455428033,0.36,0.38,0.38,0.44,0.44
standard,wm,atm,44.0,0.21568181818181828,0.009976187292568535,0.2,0.21,0.22,0.22,0.24
standard,wm,craftdroid,44.0,0.20454545454545456,0.006270842625233381,0.19,0.2,0.21,0.21,0.21
standard,wm,custom,44.0,0.23386363636363638,0.005376914084676793,0.23,0.23,0.23,0.24,0.25
